Country,mined_raw_mat,Unit,2018,2019,2020,2021,2022
Australia,Coking Coal,(t),183620000,189066000,183764000,171122000,168575000
Australia,Lignite,(t),45956000,43315000,41513000,41622000,40296000
Australia,Nat. Gas,(Mio m3),130987,154485,154107,156463,163112
Australia,Petroleum,(t),16776470,22464160,22381790,21782900,20228210
Australia,Uranium,(t),7737,7726,7273,4474,5377
Austria,Iron,(t),897132,1037470,973840,1059550,1035770
Austria,Tungsten,(t),936,892,896,919,910
Austria,Feldspar,(t),35000,35000,35000,35000,35000
Austria,Graphite,(t),150,100,100,100,100
Austria,Gypsum,(t),836862,900217,901619,900374,876075
Austria,Kaolin,(t),13500,13500,13500,13500,13500
Austria,Magnesite,(t),808239,691909,816370,844226,771043
Austria,Salt,(t),1176807,1212158,1014554,1117586,897774
Austria,Sulfur,(t),6980,6768,6564,4755,4672
Austria,Talc,(t),127866,124184,123000,157493,157047
Austria,Nat. Gas,(Mio m3),969,891,743,654,607
Austria,Oil Shales,(t),150,100,100,100,100
Austria,Petroleum,(t),681842,642953,609254,571428,532339
Azerbaijan,Aluminium,(t),45390,32700,28560,24900,33500
Azerbaijan,Copper,(t),1650,2213,2591,2649,2516
Azerbaijan,Gold,(kg),4239,3897,3635,3427,3271
Azerbaijan,Silver,(kg),8943,8160,7590,8988,12600
Azerbaijan,Bentonite,(t),212336,222519,155112,174242,175875
Azerbaijan,Gypsum,(t),270471,314224,297594,417892,369908
Azerbaijan,Salt,(t),66699,77116,76401,71495,77455
Azerbaijan,Nat. Gas,(Mio m3),19207,24514,26487,32578,34956
Azerbaijan,Petroleum,(t),38814300,37501200,34531900,34580300,32646400
Bahamas,Salt,(t),867950,663850,720030,425710,633380
Bahrain,Aluminium,(t),1011101,1365005,1548500,1561222,1600111
Bahrain,Sulfur,(t),139370,139655,124490,129350,128780
Bahrain,Nat. Gas,(Mio m3),15420,17120,17230,17500,16600
Bahrain,Petroleum,(t),9667380,9668850,9694300,9608310,9436020
Bangladesh,Salt,(t),1493000,1824000,1570000,1651000,1832000
Bangladesh,Steam Coal,(t),923276,805696,811138,753973,488676
Bangladesh,Nat. Gas,(Mio m3),27430,27230,24990,25170,23780
Bangladesh,Petroleum,(t),589650,565140,522570,463590,349560
Barbados,Nat. Gas,(Mio m3),14,14,11,11,9
Barbados,Petroleum,(t),30070,28560,23590,20770,19130
Belarus,Potash,(t),7346096,7348293,7562153,7750000,4000000
Belarus,Salt,(t),2904097,2517590,1198290,2265000,2000000
Belarus,Nat. Gas,(Mio m3),211,218,219,229,220
Belarus,Petroleum,(t),1670000,1690000,1710000,1737000,1594000
Belgium,Arsenic,(t),1000,1000,1000,1000,1000
Belgium,Indium,(t),20,20,20,20,19
Belgium,Selenium,(t),200,200,200,200,200
Benin,Gold,(kg),5,5,5,5,5
Benin,Salt,(t),500,500,500,500,500
Bhutan,Iron,(t),24220,23590,9430,16590,2230
Bhutan,Gypsum,(t),461128,490596,331050,403753,400183
Bhutan,Talc,(t),2042,1375,972,678,740
Bhutan,Steam Coal,(t),186824,184785,72838,111545,158603
Bolivia,Iron,(t),41560,45830,15410,17010,215940
Bolivia,Manganese,(t),110,3660,4710,5100,420
Bolivia,Tantalum,(t),18,10,8,1,3
Bolivia,Tungsten,(t),1366,1064,1347,1563,1358
Bolivia,Antimony,(t),3110,2747,2629,3084,3453
Bolivia,Arsenic,(t),238,126,50,100,35
Bolivia,Bismuth,(t),39,0,55,27,3
Bolivia,Copper,(t),5216,4478,2822,3310,3608
Bolivia,Lead,(t),112140,88002,64619,92767,89761
Bolivia,Lithium,(t),10,160,80,410,250
Bolivia,Tin,(t),17251,17147,14709,19628,17613
Bolivia,Zinc,(t),519630,527521,358411,499257,517523
Bolivia,Gold,(kg),31599,42000,23207,45662,53374
Bolivia,Silver,(kg),1191024,1153109,929909,1289456,1214301
Bolivia,Baryte,(t),53163,39458,9611,26780,48952
Bolivia,Bentonite,(t),2,0,0,0,5057
Bolivia,Boron,(t),216403,214269,258143,312906,295515
Bolivia,Gypsum,(t),1136,3905,1000,1000,168922
Bolivia,Potash,(t),1700,17800,4400,32600,42600
Bolivia,Salt,(t),5373,4494,14949,21777,15042
Bolivia,Nat. Gas,(Mio m3),19341,17046,16384,16967,15517
Bolivia,Petroleum,(t),2534273,2244260,2065070,2032870,1815610
Bosnia-Herzegovina,Iron,(t),704050,739600,727980,792500,771530
Bosnia-Herzegovina,Aluminium,(t),131508,67690,0,90037,138969
Bosnia-Herzegovina,Bauxite,(t),760244,1043343,619748,675269,669926
Bosnia-Herzegovina,Lead,(t),7070,7470,6110,6310,6730
Bosnia-Herzegovina,Zinc,(t),9350,9160,6610,7310,7690
Bosnia-Herzegovina,Bentonite,(t),87358,94601,69183,75761,28173
Bosnia-Herzegovina,Gypsum,(t),122421,130788,140994,297225,135408
Bosnia-Herzegovina,Kaolin,(t),303626,118005,108174,62599,24529
Bosnia-Herzegovina,Magnesite,(t),5950,1400,652,196,0
Bosnia-Herzegovina,Salt,(t),1063458,1069210,947838,966358,1109253
Bosnia-Herzegovina,Lignite,(t),14378767,13376548,13365730,12802517,13736665
Botswana,Copper,(t),1462,0,0,11742,34201
Botswana,Gold,(kg),1105,943,851,649,427
Botswana,Silver,(kg),,,0,10383,31174
Botswana,Diam. (Gem),(ct),17064600,16580900,11807600,15887200,17135300
Botswana,Diam. (Ind),(ct),7313400,7106100,5060400,6808800,7343700
Botswana,Salt,(t),367988,383779,418379,499527,323303
Botswana,Steam Coal,(t),2482313,2110891,1923992,2021218,2460868
Brazil,Iron,(t),287617655,255339422,245889636,268066382,250993847
Brazil,Chromium,(t),219724,199256,226762,248108,218626
Brazil,Cobalt,(t),4,0,0,0,0
Brazil,Manganese,(t),1310825,1452034,932721,597456,529664
Brazil,Nickel,(t),65254,55761,68097,75988,79370
Brazil,Niobium,(t),99554,126641,85572,112755,110000
Brazil,Tantalum,(t),345,340,300,350,350
Brazil,Titanium,(t),73090,81650,61940,75100,53000
Brazil,Tungsten,(t),346,306,262,301,302
Brazil,Vanadium,(t),6562,7045,7582,7212,7249
Brazil,Aluminium,(t),659000,650200,685100,771700,810900
Brazil,Bauxite,(t),32377000,31937900,32897800,35949600,31608694
Brazil,Beryllium,(t),39,9,10,10,10
Brazil,Cadmium,(t),300,450,100,50,20
Brazil,Copper,(t),385762,363268,353258,335923,297653
Brazil,Lead,(t),7277,5715,5351,6307,8304
Brazil,Lithium,(t),786,2575,4065,5670,7863
Brazil,Rare Earths,(t),510,380,450,580,1580
Brazil,Tin,(t),17591,14867,16893,15517,17019
Brazil,Zinc,(t),169773,163403,174332,159913,155177
Brazil,Gold,(kg),85198,89988,98922,93103,83300
Brazil,Silver,(kg),49600,50000,68430,71540,74650
Brazil,Asbestos,(t),111439,12205,77057,172256,182965
Brazil,Baryte,(t),9377,9223,1849,361,4931
Brazil,Bentonite,(t),500000,403763,217055,220000,220000
Brazil,Diam. (Gem),(ct),82810,53240,41320,46670,45490
Brazil,Diam. (Ind),(ct),168130,108085,83890,94760,92350
Brazil,Diatomite,(t),20562,17673,35574,10665,35844
Brazil,Feldspar,(t),592284,632349,450573,491042,756364
Brazil,Fluorspar,(t),28195,24399,24730,28158,28969
