Country,mined_raw_mat,Unit,2018,2019,2020,2021,2022
Cuba,Nickel,(t),49000,45000,46000,44000,43000
Cuba,Lead,(t),25380,36000,30000,30000,33000
Cuba,Zinc,(t),42250,57830,57730,44500,51700
Cuba,Bentonite,(t),630,504,486,517,498
Cuba,Feldspar,(t),3000,2100,14100,17800,5900
Cuba,Gypsum,(t),99900,66330,62300,53200,32600
Cuba,Kaolin,(t),2700,2100,2032,1375,500
Cuba,Magnesite,(t),0,1532,3910,3000,548
Cuba,Phosphates,(t),0,0,460,410,320
Cuba,Salt,(t),192700,210370,226000,204600,195600
Cuba,Sulfur,(t),309000,317000,311200,278900,289200
Cuba,Nat. Gas,(Mio m3),970,951,895,863,844
Cuba,Petroleum,(t),2462500,2371450,2320200,2433300,2300000
Cyprus,Copper,(t),908,703,0,0,0
Cyprus,Gold,(kg),47,33,61,0,0
Cyprus,Silver,(kg),180,97,486,0,0
Cyprus,Bentonite,(t),98800,83113,92645,81655,86562
Cyprus,Gypsum,(t),625721,623545,646340,661175,688270
Czechia,Bentonite,(t),277000,357000,226000,198000,167000
Czechia,Diatomite,(t),31000,43000,46000,18000,44000
Czechia,Feldspar,(t),449000,460000,419000,504000,493000
Czechia,Gypsum,(t),8000,10000,17000,17000,20000
Czechia,Kaolin,(t),3622000,3446000,3069000,3454000,3009000
Czechia,Steam Coal,(t),1993850,1335497,841188,739460,1293831
Czechia,Coking Coal,(t),2626361,2309833,1296137,1734896,816254
Czechia,Lignite,(t),39187000,37465000,29505000,29278000,33397365
Czechia,Nat. Gas,(Mio m3),179,146,173,153,165
Czechia,Petroleum,(t),109000,81000,91000,83000,75000
Czechia,Uranium,(t),40,39,34,32,25
Denmark,Bentonite,(t),56173,48197,40054,20281,24128
Denmark,Diatomite,(t),99400,108800,115000,120600,143100
Denmark,Salt,(t),600000,600000,600000,600000,600000
Denmark,Sulfur,(t),4194,3554,4140,4090,3727
Denmark,Nat. Gas,(Mio m3),4148,3138,1425,1352,1349
Denmark,Petroleum,(t),5665787,5017234,3556000,3277800,3212000
Dominican Republic,Nickel,(t),19214,28450,22005,27819,29223
Dominican Republic,Bauxite,(t),6525,7551,9475,71517,104158
Dominican Republic,Copper,(t),8588,6047,2193,4774,5360
Dominican Republic,Zinc,(t),4038,5527,2361,4896,5485
Dominican Republic,Gold,(kg),31633,31801,28154,25437,22282
Dominican Republic,Silver,(kg),166510,108685,87889,79688,73413
Dominican Republic,Feldspar,(t),1200,1000,0,0,0
Dominican Republic,Gypsum,(t),190660,316630,304920,329630,415810
Dominican Republic,Salt,(t),23860,26000,24000,20000,27000
Ecuador,Copper,(t),42200,9900,49700,89170,115100
Ecuador,Gold,(kg),8213,6293,9086,15026,17030
Ecuador,Silver,(kg),192,2892,9457,23698,27210
Ecuador,Baryte,(t),2868,2000,2000,1000,500
Ecuador,Feldspar,(t),43197,45000,0,0,0
Ecuador,Nat. Gas,(Mio m3),353,318,268,269,243
Ecuador,Petroleum,(t),25754000,26442000,23932000,23543000,23944300
Egypt,Iron,(t),250700,48200,1900,5800,6000
Egypt,Manganese,(t),13200,7900,5300,8000,5000
Egypt,Aluminium,(t),267100,290000,268000,270000,250000
Egypt,Gold,(kg),14694,14946,14069,12919,13716
Egypt,Baryte,(t),4000,4000,4000,4000,4000
Egypt,Bentonite,(t),10000,7000,7000,7000,7000
Egypt,Feldspar,(t),230000,230000,200000,200000,200000
Egypt,Fluorspar,(t),1000,1000,1000,1000,1000
Egypt,Gypsum,(t),727370,800000,800000,800000,800000
Egypt,Kaolin,(t),230000,230000,230000,230000,230000
Egypt,Phosphates,(t),870870,979620,885100,898400,870000
Egypt,Salt,(t),522000,493000,357000,218000,220000
Egypt,Sulfur,(t),80000,80000,80000,80000,80000
Egypt,Talc,(t),25000,22000,20000,15000,20000
Egypt,Nat. Gas,(Mio m3),58560,64940,58465,67799,64488
Egypt,Petroleum,(t),32844000,31812000,31066370,29601360,29920860
El Salvador,Salt,(t),30000,30000,30000,30000,30000
Equatorial Guinea,Nat. Gas,(Mio m3),7750,6235,6023,7047,8105
Equatorial Guinea,Petroleum,(t),7826120,7172620,7154290,5919365,5385330
Eritrea,Copper,(t),17300,16008,21725,20224,17098
Eritrea,Zinc,(t),125000,121260,121930,129641,120529
Eritrea,Gold,(kg),3768,2443,3019,2140,3200
Eritrea,Silver,(kg),31000,44836,65284,68624,49855
Eritrea,Gypsum,(t),18000,18000,18000,26000,26000
Eritrea,Kaolin,(t),200,0,0,0,0
Eritrea,Salt,(t),310000,310000,320000,320000,320000
Estonia,Oil Shales,(t),21883000,15697400,12144400,11743000,13967000
Eswatini,Gold,(kg),4,6,1,0,4
Eswatini,Steam Coal,(t),144375,109926,161768,162681,215581
Ethiopia,Chromium,(t),8000,500,200,700,400
Ethiopia,Niobium,(t),28,14,11,18,25
Ethiopia,Tantalum,(t),104,50,41,64,90
Ethiopia,Gold,(kg),3495,2800,7500,9600,5900
Ethiopia,Silver,(kg),1000,800,1000,1000,800
Ethiopia,Diatomite,(t),5000,5000,5000,5000,5000
Ethiopia,Gypsum,(t),253165,56313,107070,110000,110000
Ethiopia,Kaolin,(t),10000,1000,1000,1000,1000
Ethiopia,Salt,(t),122850,125000,125000,125000,100000
Fiji,Iron,(t),0,35900,35200,49400,28800
Fiji,Bauxite,(t),57960,0,0,0,0
Fiji,Gold,(kg),1281,1106,1090,1107,584
Fiji,Silver,(kg),413,692,479,622,475
Finland,Chromium,(t),466750,491930,470620,472890,391410
Finland,Cobalt,(t),1377,1454,1559,1084,1235
Finland,Nickel,(t),43572,38530,41429,42163,44921
Finland,Copper,(t),46755,32861,36278,32384,27637
Finland,Lead,(t),0,937,1532,1494,1535
Finland,Selenium,(t),109,115,84,100,130
Finland,Zinc,(t),85067,69800,61213,59080,62433
Finland,Gold,(kg),8732,7927,8668,9082,8390
Finland,Palladium,(kg),1157,699,858,1036,960
Finland,Platinum,(kg),1576,953,1277,1447,1243
Finland,Silver,(kg),12849,40461,54833,45338,35182
Finland,Feldspar,(t),17469,17997,16137,52706,63034
Finland,Magnesite,(t),49601,37002,136167,179781,324226
Finland,Phosphates,(t),356070,363020,363200,363720,341600
Finland,Sulfur,(t),888300,811600,794900,737600,696800
Finland,Talc,(t),374398,329891,278331,296833,241538
France,Aluminium,(t),390000,401850,417000,430000,380000
France,Bauxite,(t),138800,120760,123496,142764,118000
France,Indium,(t),43,38,40,38,19
France,Bentonite,(t),35696,36000,36000,36000,36000
France,Diatomite,(t),90000,90000,90000,50000,50000
France,Feldspar,(t),550000,500000,500000,500000,450000
France,Gypsum,(t),5314983,3259935,1891190,2108258,2410284
France,Kaolin,(t),301842,392389,231579,289057,290000
France,Salt,(t),4689054,5160260,5200596,5543448,5621754
France,Sulfur,(t),500000,500000,450000,450000,450000
France,Talc,(t),450000,400000,400000,350000,350000
France,Nat. Gas,(Mio m3),9,16,17,22,20
France,Oil Shales,(t),2000,2000,2000,2000,2000
France,Petroleum,(t),774100,719800,644700,647830,595700
French Guiana,Gold,(kg),1320,1157,1058,1225,916
Gabon,Manganese,(t),2874600,3158100,3709100,4228900,4529000
Gabon,Gold,(kg),83,107,55,1106,1063
Gabon,Nat. Gas,(Mio m3),511,464,502,454,418
Gabon,Petroleum,(t),9646000,10848000,10766000,10038600,10367900
Georgia,Manganese,(t),210500,170600,202400,226500,160000
Georgia,Copper,(t),9100,9500,8000,8130,6400
Georgia,Gold,(kg),2913,4052,5401,3513,4908
Georgia,Silver,(kg),20042,4100,11200,12700,22400
Georgia,Bentonite,(t),25498,27872,12750,16315,16000
Georgia,Gypsum,(t),91700,137831,87655,79515,80000
Georgia,Perlite,(t),22577,21000,31736,31572,30000
Georgia,Steam Coal,(t),137900,15300,99300,147900,146347
Georgia,Nat. Gas,(Mio m3),10,10,9,16,15
Georgia,Petroleum,(t),30200,35100,31300,35500,36600
Germany,Iron,(t),82900,94100,95500,87500,86000
Germany,Aluminium,(t),528900,507934,529056,509193,341212
Germany,Cadmium,(t),520,620,500,450,300
Germany,Copper,(t),51,40,37,60,67
Germany,Selenium,(t),300,300,300,300,300
Germany,Gold,(kg),9,15,10,12,14
Germany,Silver,(kg),5000,4000,4000,6000,7000
Germany,Baryte,(t),37897,30474,26656,27921,24128
Germany,Bentonite,(t),379000,366000,333000,363000,316000
Germany,Diatomite,(t),58340,53802,51511,58519,50321
Germany,Feldspar,(t),252693,235289,221527,223007,205330
Germany,Fluorspar,(t),49197,79959,64933,56632,104461
Germany,Graphite,(t),222,207,108,181,185
Germany,Gypsum,(t),4550000,4850000,5200000,6260000,5820000
Germany,Kaolin,(t),4930000,4760000,4969000,5291000,4594000
Germany,Potash,(t),2754085,2615284,2874026,2793326,2708650
Germany,Salt,(t),16229929,16627893,14226154,17668366,15073463
Germany,Sulfur,(t),419597,460012,353293,382049,370664
Germany,Steam Coal,(t),1212700,0,0,0,0
Germany,Coking Coal,(t),1370800,0,0,0,0
Germany,Lignite,(t),166258000,131314000,107377260,126256594,130801111
Germany,Nat. Gas,(Mio m3),6888,6699,5692,5731,5281
Germany,Oil Shales,(t),494650,487012,471404,442886,415916
Germany,Petroleum,(t),2066643,1923232,1895942,1805932,1699014
Germany,Uranium,(t),0,28,8,0,0
Ghana,Manganese,(t),1320000,1507200,660100,934200,919800
Ghana,Aluminium,(t),42867,43908,37566,39239,55592
Ghana,Bauxite,(t),1011302,1116334,1162086,839465,773213
Ghana,Gold,(kg),149057,142371,125114,87721,116179
Ghana,Silver,(kg),4000,4000,3000,1000,1000
Ghana,Diam. (Gem),(ct),46025,27030,20230,43340,61690
Ghana,Diam. (Ind),(ct),11505,6760,5060,10835,20560
Ghana,Salt,(t),330000,300000,330000,300000,300000
Ghana,Nat. Gas,(Mio m3),910,1550,2660,3020,3300
Ghana,Petroleum,(t),8876500,10205700,9561000,7864300,7393900
Greece,Chromium,(t),16650,12080,790,0,0
Greece,Nickel,(t),19980,17240,9270,4770,1700
Greece,Aluminium,(t),187465,186903,181708,169775,171450
Greece,Bauxite,(t),1559359,1379123,1428631,1227487,1173319
Greece,Lead,(t),15345,14818,19717,16773,10100
Greece,Zinc,(t),21515,22322,28090,22621,10502
Greece,Gold,(kg),2839,2333,2177,3315,1752
Greece,Silver,(kg),39150,37790,51111,44086,32870
Greece,Bentonite,(t),1365374,1393958,979329,1253789,1106201
Greece,Gypsum,(t),827298,589012,622834,647164,656296
Greece,Magnesite,(t),425882,358841,335943,393715,393287
Greece,Perlite,(t),790412,718077,821233,1053019,839108
Greece,Salt,(t),163474,201107,201000,210000,220000
Greece,Sulfur,(t),280000,260000,210000,250000,250000
Greece,Lignite,(t),36574360,27383575,13866637,12427717,14340293
Greece,Nat. Gas,(Mio m3),12,9,6,4,0
Greece,Petroleum,(t),201786,164905,89715,57570,0
Guatemala,Iron,(t),2590,30,0,0,0
Guatemala,Nickel,(t),48400,44600,57600,59100,52600
Guatemala,Antimony,(t),0,150,50,0,12
Guatemala,Lead,(t),264,377,0,0,0
Guatemala,Baryte,(t),63,50,50,100,20
Guatemala,Bentonite,(t),16953,12700,6000,7378,7400
Guatemala,Feldspar,(t),30257,28771,25578,34232,30000
Guatemala,Gypsum,(t),132897,140901,423281,138552,206143
Guatemala,Kaolin,(t),724,700,402,295,300
Guatemala,Magnesite,(t),4745,4500,6000,14100,10000
Guatemala,Talc,(t),2187,10,3151,2111,1450
Guatemala,Nat. Gas,(Mio m3),,,0,72,72
Guatemala,Petroleum,(t),458800,478200,389000,355500,349200
Guinea,Iron,(t),,0,418800,1140800,197900
Guinea,Bauxite,(t),59573707,70173326,87766199,87438557,103525513
Guinea,Gold,(kg),25823,27708,91798,102046,86236
Guinea,Diam. (Gem),(ct),219530,171880,96430,204990,160000
Guinea,Diam. (Ind),(ct),73180,57300,32145,68330,53330
Guyana,Manganese,(t),,,,0,105800
Guyana,Bauxite,(t),1926053,1919747,608168,618452,705631
Guyana,Gold,(kg),19069,19963,18209,15522,15129
Guyana,Diam. (Gem),(ct),62110,54990,19240,45106,83614
Guyana,Petroleum,(t),0,58280,3709780,5820870,13832300
Honduras,Antimony,(t),20,15,10,120,0
Honduras,Lead,(t),9893,12308,13400,14000,12400
Honduras,Zinc,(t),28422,29454,30200,32300,28200
Honduras,Gold,(kg),2070,3035,1963,2824,1911
Honduras,Silver,(kg),31182,45174,40400,37495,30000
Honduras,Gypsum,(t),35000,34964,45254,45000,75000
Honduras,Salt,(t),63500,49900,61200,63500,60000
Hungary,Bauxite,(t),4200,0,0,0,0
Hungary,Bentonite,(t),25000,41500,42000,42000,38501
Hungary,Perlite,(t),44970,43900,44000,60000,85505
Hungary,Lignite,(t),7898689,6847230,6125178,4987686,4927434
Hungary,Nat. Gas,(Mio m3),1905,1716,1708,1526,1549
Hungary,Petroleum,(t),1103000,1160000,1030000,1087000,1080000
Iceland,Aluminium,(t),731478,682616,691989,695857,730394
Iceland,Salt,(t),5000,5000,5000,5000,5000
India,Iron,(t),129615740,151827100,125963950,156024500,158405600
India,Chromium,(t),1864070,1832600,1273300,1716800,1614600
India,Manganese,(t),920230,919640,834340,832100,872600
India,Titanium,(t),172700,205200,205500,176000,154000
India,Vanadium,(t),442,76,100,100,50
India,Aluminium,(t),3696181,3635089,3619237,3585800,4073000
India,Bauxite,(t),23689619,21825227,20380548,22493947,23831706
India,Copper,(t),32530,28585,25260,26580,26200
India,Lead,(t),205920,197080,216280,216023,223038
India,Rare Earths,(t),2110,2520,2500,2600,2600
India,Selenium,(t),17,17,20,20,20
India,Tin,(t),16,12,13,20,34
India,Zinc,(t),728400,719220,756090,801035,839051
India,Gold,(kg),1664,1742,1127,1251,1302
India,Silver,(kg),679386,609340,705795,647140,713625
India,Baryte,(t),2488756,2739035,2500000,2500000,2000000
India,Bentonite,(t),3661450,3605000,3740000,3550000,3500000
India,Diam. (Gem),(ct),13877,10301,5010,0,0
India,Diam. (Ind),(ct),24560,18515,8910,266,388
India,Feldspar,(t),8486262,6172997,4820000,6430000,6000000
India,Fluorspar,(t),1079,1315,1052,1237,1100
India,Graphite,(t),39030,34674,35386,57264,82439
India,Gypsum,(t),4664046,3006046,6788200,3547250,4000000
India,Kaolin,(t),8201946,8000000,8000000,8000000,8400000
India,Magnesite,(t),146875,102554,74661,113495,107525
India,Phosphates,(t),342890,332940,337800,323750,459100
India,Salt,(t),30033300,28058400,26564400,26600100,30000000
India,Sulfur,(t),4290400,3900950,3750000,3681000,3725000
India,Talc,(t),1682825,1748963,1720000,1575000,1630000
India,Vermiculite,(t),2992,2774,1260,3061,2303
India,Zircon,(t),11906,15600,16000,16000,16000
India,Steam Coal,(t),687586000,677938000,671296000,726508000,832430000
India,Coking Coal,(t),41132000,52936000,44787000,51702000,60760000
India,Lignite,(t),44283000,42096000,37895000,47492000,44990000
India,Nat. Gas,(Mio m3),32058,30257,27784,33131,33664
India,Petroleum,(t),34203270,32169270,30494090,29688440,29178680
India,Uranium,(t),499,363,472,708,708
Indonesia,Iron,(t),600000,1379300,2951100,3300000,3000000
Indonesia,Cobalt,(t),350,350,1000,2100,9600
Indonesia,Manganese,(t),24000,24000,23500,40000,0
Indonesia,Nickel,(t),651600,1036200,816700,1173200,1593400
Indonesia,Aluminium,(t),219306,233457,220089,200577,223774
Indonesia,Bauxite,(t),11023850,16592740,25859895,25781187,28808674
Indonesia,Copper,(t),651132,351220,505650,731060,940770
Indonesia,Lead,(t),10880,9450,7090,6735,4800
Indonesia,Tin,(t),82809,76390,52617,34466,56093
Indonesia,Zinc,(t),21100,25215,20390,14780,11375
Indonesia,Gold,(kg),135250,108900,66190,72660,96800
Indonesia,Silver,(kg),308810,487400,338100,295920,298650
Indonesia,Feldspar,(t),749300,480800,287400,313200,325700
Indonesia,Kaolin,(t),1368400,2754600,1636000,1568000,975300
Indonesia,Salt,(t),2719256,2852125,1365711,879986,635865
Indonesia,Sulfur,(t),500000,500000,500000,500000,500000
Indonesia,Zircon,(t),53700,73100,77200,54630,97400
Indonesia,Steam Coal,(t),543919000,594796500,561979800,564815600,680712000
Indonesia,Coking Coal,(t),5117786,5752018,4800000,6000000,6000000
Indonesia,Nat. Gas,(Mio m3),72570,67160,59180,58960,57410
Indonesia,Petroleum,(t),38434800,37104200,35367913,32786100,30489800
Iran,Iron,(t),24700000,28305000,33660000,34980000,36874200
Iran,Chromium,(t),113410,104400,103340,85620,130440
Iran,Manganese,(t),45595,50240,63580,93940,65800
Iran,Molybdenum,(t),3690,4160,3536,4150,5980
Iran,Titanium,(t),30000,4880,5000,6860,19570
Iran,Aluminium,(t),304800,258166,424475,543715,611551
Iran,Antimony,(t),1645,330,1065,1960,3890
Iran,Bauxite,(t),866683,828788,1042325,883950,955528
Iran,Copper,(t),316380,314143,313323,313612,314995
Iran,Lead,(t),49600,72500,81800,74100,105500
Iran,Zinc,(t),143600,209900,215200,195100,228700
Iran,Gold,(kg),7600,8140,6919,6990,7472
Iran,Silver,(kg),50000,50000,50000,50000,50000
Iran,Baryte,(t),477227,247207,285756,297469,224626
Iran,Bentonite,(t),423604,761079,714684,1153283,1341023
Iran,Boron,(t),851,2026,1495,2000,2735
Iran,Diatomite,(t),0,600,170,5550,0
Iran,Feldspar,(t),1320452,2415368,1910505,2803515,3094356
Iran,Fluorspar,(t),55000,54824,116159,65000,62005
Iran,Gypsum,(t),10904289,14750093,15124823,14322761,18406880
Iran,Kaolin,(t),1158983,1813395,1923895,1348232,2600110
Iran,Magnesite,(t),137445,147760,256124,248376,210513
Iran,Perlite,(t),71579,31828,52750,77024,6709
Iran,Phosphates,(t),105840,102230,105000,83900,95430
Iran,Potash,(t),32900,37200,37000,40000,50000
Iran,Salt,(t),2453873,2639192,3200232,3083719,3877712
Iran,Sulfur,(t),2200000,2200000,2200000,2000000,2000000
Iran,Talc,(t),73259,49650,61665,74537,93535
Iran,Steam Coal,(t),400000,485000,450000,318200,364200
Iran,Coking Coal,(t),1650000,1600000,1423900,980000,1909050
Iran,Nat. Gas,(Mio m3),224899,232900,249530,256650,259399
Iran,Petroleum,(t),219633830,158608670,144367790,168793020,176541170
Iraq,Gypsum,(t),1000000,1000000,1000000,1000000,1100000
Iraq,Phosphates,(t),377120,300000,300000,0,0
Iraq,Salt,(t),271500,270000,300000,57602,60000
Iraq,Sulfur,(t),40000,40000,40000,179600,180000
Iraq,Nat. Gas,(Mio m3),10574,10967,7005,9107,9429
Iraq,Petroleum,(t),227012450,234220100,202037850,200829370,221310150
Ireland,Lead,(t),16712,16053,14401,13192,14181
Ireland,Zinc,(t),131742,122463,127008,112249,103264
Ireland,Silver,(kg),1160,1578,918,1342,2750
Ireland,Gypsum,(t),200000,200000,150000,110000,110000
Ireland,Nat. Gas,(Mio m3),3060,2390,1840,1400,1290
Israel,Gypsum,(t),75800,72000,0,0,0
Israel,Phosphates,(t),1100500,898200,988800,777900,694400
Israel,Potash,(t),2149300,2043500,2415600,2379000,2446710
Israel,Salt,(t),377000,301000,275200,262350,255000
Israel,Nat. Gas,(Mio m3),9010,9035,13305,16623,18910
Israel,Oil Shales,(t),414580,402882,392990,430840,254425
Israel,Petroleum,(t),73933,84020,130427,164765,187443
Italy,Bentonite,(t),100067,82720,65989,32252,102264
Italy,Feldspar,(t),2200000,2200000,2200000,2200000,2200000
Italy,Gypsum,(t),188618,298242,163749,0,847447
Italy,Kaolin,(t),300000,250000,200000,180000,200000
Italy,Salt,(t),1514829,1538072,1192956,1500458,1460833
Italy,Sulfur,(t),809900,1261100,458700,613100,745200
Italy,Talc,(t),165000,160000,165000,165000,180000
Italy,Nat. Gas,(Mio m3),5443,4852,4117,3343,3316
Italy,Petroleum,(t),4684200,4279000,5393780,4840300,4497484
Jamaica,Bauxite,(t),10058228,9022286,7546139,5949600,4364700
Jamaica,Gypsum,(t),47000,55000,66000,66000,84000
Jamaica,Salt,(t),10000,10000,10000,10000,10000
Japan,Arsenic,(t),45,45,40,40,40
Japan,Bismuth,(t),571,540,570,478,480
Japan,Cadmium,(t),1980,1783,1880,1900,1800
Japan,Gallium,(t),3,3,3,3,3
Japan,Germanium,(t),2,2,2,2,2
Japan,Indium,(t),70,70,66,66,66
Japan,Selenium,(t),768,740,740,720,710
Japan,Tellurium,(t),58,50,70,68,68
Japan,Gold,(kg),6453,6313,7590,6225,4886
Japan,Silver,(kg),3596,3467,4192,3339,2923
Japan,Bentonite,(t),250000,250000,250000,250000,260000
Japan,Kaolin,(t),12000,12000,12000,12000,12000
Japan,Salt,(t),929000,903000,874000,855000,897000
Japan,Sulfur,(t),3408300,3259000,3140500,2995100,3120000
Japan,Talc,(t),160000,160000,160000,160000,140000
Japan,Nat. Gas,(Mio m3),2707,2524,2295,2305,2148
Japan,Petroleum,(t),449000,470200,461000,441200,378700
Jordan,Gypsum,(t),190606,264724,184917,399968,400000
Jordan,Kaolin,(t),11000,11000,11000,11000,11000
Jordan,Phosphates,(t),2567170,2951470,2860140,3204880,3602500
Jordan,Potash,(t),1485960,1516460,1598200,1563430,1637240
Jordan,Salt,(t),48901,36850,39088,42359,40000
Jordan,Sulfur,(t),279910,255060,282200,316540,321440
Jordan,Nat. Gas,(Mio m3),93,99,150,184,152
Jordan,Petroleum,(t),1000,1600,2500,14300,12900
Kazakhstan,Iron,(t),12968800,14278750,15105100,15966300,12567100
Kazakhstan,Chromium,(t),2378200,2458800,1977900,1901500,1833900
Kazakhstan,Manganese,(t),288300,230700,164300,129800,136600
Kazakhstan,Molybdenum,(t),149,258,384,880,2005
Kazakhstan,Titanium,(t),65000,60000,28000,20000,22000
Kazakhstan,Aluminium,(t),258400,264895,265665,262361,249141
Kazakhstan,Antimony,(t),150,0,0,0,467
Kazakhstan,Bauxite,(t),6104200,4118400,4057800,4370100,4175900
Kazakhstan,Bismuth,(t),159,200,270,250,101
Kazakhstan,Cadmium,(t),850,1200,1500,1500,1000
Kazakhstan,Copper,(t),632550,604970,548760,511940,594050
Kazakhstan,Lead,(t),86500,55700,30200,29900,30100
Kazakhstan,Rhenium,(kg),1600,1000,1000,1000,800
Kazakhstan,Selenium,(t),10,10,0,0,0
Kazakhstan,Zinc,(t),346000,321900,341400,318400,315100
Kazakhstan,Gold,(kg),100288,106559,116964,114843,129779
Kazakhstan,Silver,(kg),969347,1022068,1035181,1004789,1013070
Kazakhstan,Asbestos,(t),202900,210700,227400,250100,250100
Kazakhstan,Baryte,(t),773200,530600,445300,1016500,650000
Kazakhstan,Bentonite,(t),120000,52000,59200,60000,60000
Kazakhstan,Boron,(t),30000,30000,30000,30000,30000
Kazakhstan,Gypsum,(t),121400,78200,94500,184700,233100
Kazakhstan,Phosphates,(t),381200,388540,456010,426330,428040
Kazakhstan,Salt,(t),885717,1094659,1237455,1231996,1678472
Kazakhstan,Sulfur,(t),3218250,3834100,4378900,4587200,4310200
Kazakhstan,Steam Coal,(t),101085800,98593000,97924100,102638500,104500100
Kazakhstan,Coking Coal,(t),10836000,10478500,10052900,8752200,7627000
Kazakhstan,Lignite,(t),6560700,5929100,5422100,4827800,5664100
Kazakhstan,Nat. Gas,(Mio m3),36350,33100,32810,26747,27011
Kazakhstan,Petroleum,(t),90359500,90555500,85656100,85879400,84235900
Kazakhstan,Uranium,(t),25595,26895,22967,25729,25031
Kenya,Manganese,(t),7000,16600,13600,28500,61200
Kenya,Titanium,(t),340150,262660,256410,254210,275290
Kenya,Gold,(kg),472,395,150,292,564
Kenya,Diatomite,(t),1548,921,928,763,1401
Kenya,Gypsum,(t),5700,5700,5700,6000,6000
Kenya,Kaolin,(t),1000,1000,800,900,1900
Kenya,Salt,(t),28841,13728,4703,7099,23215
Kenya,Vermiculite,(t),0,100,0,700,300
Kenya,Zircon,(t),36387,30440,31730,28933,29715
Kenya,Petroleum,(t),0,32400,41000,0,0
"Korea, North",Iron,(t),2082800,1796400,1640800,1684000,1647800
"Korea, North",Molybdenum,(t),560,530,100,100,620
"Korea, North",Tungsten,(t),1410,1130,410,50,1520
"Korea, North",Cadmium,(t),200,150,150,150,150
"Korea, North",Copper,(t),15000,2000,2000,2000,2000
"Korea, North",Lead,(t),35000,25000,24000,25000,25000
"Korea, North",Zinc,(t),30000,25700,25000,28000,28000
"Korea, North",Gold,(kg),10000,10000,10000,10000,10000
"Korea, North",Silver,(kg),70000,50000,50000,50000,50000
"Korea, North",Baryte,(t),4200,4000,4000,4000,4000
"Korea, North",Fluorspar,(t),6900,6900,6900,6000,6000
"Korea, North",Graphite,(t),45000,45000,45000,30000,20000
"Korea, North",Magnesite,(t),100000,100000,100000,80000,80000
"Korea, North",Salt,(t),100000,100000,100000,100000,100000
"Korea, North",Sulfur,(t),10000,10000,10000,10000,10000
"Korea, North",Talc,(t),40000,40000,30000,30000,30000
"Korea, North",Steam Coal,(t),16899000,20210000,19000000,15600000,16300000
"Korea, South",Iron,(t),229530,205410,345140,323140,260400
"Korea, South",Molybdenum,(t),1,266,411,408,366
"Korea, South",Titanium,(t),117250,162790,158340,177420,152250
"Korea, South",Cadmium,(t),5100,3950,4100,4000,4000
"Korea, South",Gallium,(t),3,2,2,2,2
"Korea, South",Indium,(t),235,225,210,190,180
"Korea, South",Lead,(t),2340,1930,1680,1530,970
"Korea, South",Zinc,(t),3660,4110,4250,4370,3960
"Korea, South",Gold,(kg),239,181,170,162,128
"Korea, South",Silver,(kg),7090,5245,7203,10001,7100
"Korea, South",Bentonite,(t),31824,43886,5314,34243,341335
"Korea, South",Diatomite,(t),25902,40910,65240,49616,49097
"Korea, South",Feldspar,(t),617166,396898,415426,987309,851046
"Korea, South",Graphite,(t),670,302,3052,18297,23798
"Korea, South",Kaolin,(t),369274,317626,393236,352003,426960
"Korea, South",Salt,(t),282590,261970,176247,280876,260616
"Korea, South",Sulfur,(t),2000000,2000000,2000000,2000000,2000000
"Korea, South",Talc,(t),348648,330250,315446,355104,322830
"Korea, South",Steam Coal,(t),1201920,1084000,1019000,897900,820181
"Korea, South",Nat. Gas,(Mio m3),293,248,177,53,0
"Korea, South",Petroleum,(t),25730,21130,13990,4800,2320
Kosovo,Nickel,(t),4790,3360,4150,4960,300
Kosovo,Lead,(t),4700,3960,3870,5250,4734
Kosovo,Zinc,(t),3600,3050,3890,3620,4108
Kosovo,Lignite,(t),7169767,8063051,8537948,8535436,8253435
Kuwait,Salt,(t),59300,58600,59000,60000,60000
Kuwait,Sulfur,(t),671000,623300,649800,959000,1268500
Kuwait,Nat. Gas,(Mio m3),17925,17516,17522,18800,19300
Kuwait,Petroleum,(t),136244500,133309720,121347440,120264800,134810500
Kyrgyzstan,Antimony,(t),680,20,20,0,20
Kyrgyzstan,Copper,(t),8813,8640,6500,8100,7500
Kyrgyzstan,Mercury,(t),88,20,20,12,5
Kyrgyzstan,Gold,(kg),22602,26127,24150,24870,27800
Kyrgyzstan,Silver,(kg),18328,19010,16127,16549,17400
Kyrgyzstan,Gypsum,(t),152842,150000,23019,31680,32000
Kyrgyzstan,Kaolin,(t),15000,15000,15000,15000,15000
Kyrgyzstan,Salt,(t),4665,5605,6000,6000,6000
Kyrgyzstan,Steam Coal,(t),316200,346500,522200,570300,538500
Kyrgyzstan,Lignite,(t),2079000,2259500,1997500,2483600,3217200
Kyrgyzstan,Nat. Gas,(Mio m3),27,24,22,22,30
Kyrgyzstan,Petroleum,(t),200000,233100,239200,275700,294900
Laos,Iron,(t),59500,282180,607830,2113560,1076900
Laos,Antimony,(t),330,70,0,240,250
Laos,Copper,(t),154948,140935,88163,38349,43766
Laos,Lead,(t),330,250,90,170,1800
Laos,Tin,(t),430,530,600,890,1130
Laos,Zinc,(t),3080,1250,860,5400,18750
Laos,Gold,(kg),5579,5207,5097,8742,9383
Laos,Silver,(kg),37465,34443,29075,26998,22685
Laos,Baryte,(t),35000,48600,96278,37403,302709
